metro,price,rooms,floor,floors,square,turned
0,14629999,2,6,19,61.31,0
0,9799999,1,2,19,39.35,0
1,15441588,2,15,18,60.6,1
1,9350000,1,2,18,37.4,1
0,10239999,1,2,18,37.0,0
1,9351187,1,2,9,35.37,0
1,16355000,1,3,9,46.05,0
1,22900000,1,7,7,52.7,1
0,7500000,1,3,24,35.5,1
1,65897100,2,1,7,177.0,1
0,13569999,2,7,18,49.11,0
0,9032929,1,22,25,43.5,1
1,18018673,1,2,12,66.0,1
1,20474370,1,4,20,62.1,1
1,20176848,1,4,7,55.83,0
1,12696344,2,2,9,54.36,0
1,15192727,1,7,7,37.38,0
1,27490554,2,7,8,80.8,1
1,21966160,2,2,9,66.97,0
1,22019192,1,5,9,45.7,0
1,14575500,1,1,9,39.5,1
0,5859341,1,2,12,35.0,0
1,23324180,1,6,9,54.3,1
0,8779520,1,10,13,37.35,1
0,6449160,1,1,13,35.03,0
1,15156000,1,8,8,42.1,1
0,14629999,2,6,19,61.31,0
0,9799999,1,2,19,39.35,0
1,15441588,2,15,18,60.6,1
1,9350000,1,2,18,37.4,1
0,10239999,1,2,18,37.0,0
1,9351187,1,2,9,35.37,0
1,16355000,1,3,9,46.05,0
1,22900000,1,7,7,52.7,1
0,7500000,1,3,24,35.5,1
1,65897100,2,1,7,177.0,1
0,13569999,2,7,18,49.11,0
0,9032929,1,22,25,43.5,1
1,18018673,1,2,12,66.0,1
1,20474370,1,4,20,62.1,1
1,20176848,1,4,7,55.83,0
1,12696344,2,2,9,54.36,0
1,15192727,1,7,7,37.38,0
1,27490554,2,7,8,80.8,1
1,21966160,2,2,9,66.97,0
1,22019192,1,5,9,45.7,0
1,14575500,1,1,9,39.5,1
0,5859341,1,2,12,35.0,0
1,23324180,1,6,9,54.3,1
0,8779520,1,10,13,37.35,1
0,6449160,1,1,13,35.03,0
1,15156000,1,8,8,42.1,1
1,20474370,1,4,20,62.1,1
1,12696344,2,2,9,54.36,0
1,14575500,1,1,9,39.5,1
1,15192727,1,7,7,37.38,0
1,22019192,1,5,9,45.7,0
1,21966160,2,2,9,66.97,0
1,27490554,2,7,8,80.8,1
0,5859341,1,2,12,35.0,0
1,23324180,1,6,9,54.3,1
0,6449160,1,1,13,35.03,0
0,8779520,1,10,13,37.35,1
1,12098055,1,6,8,40.5,1
1,12805106,1,8,10,34.09,0
1,15156000,1,8,8,42.1,1
1,10500000,1,7,10,36.55,0
1,13151326,2,1,8,60.9,1
1,21804948,1,4,9,52.14,0
1,20431939,2,8,10,74.43,0
1,24128000,2,1,8,92.8,1
1,13796320,1,2,9,42.32,0
1,25757034,2,6,8,72.0,1
0,6398555,1,6,13,29.4,0
1,18730895,1,1,8,132.76,1
0,9927424,2,3,13,51.86,0
1,15263280,1,1,8,39.44,0
1,15452440,2,1,10,59.6,1
1,23884657,2,1,8,69.7,1
0,29963000,2,7,13,72.2,0
1,16379402,1,3,10,41.1,0
0,9955200,1,1,5,41.48,0
0,19630000,2,4,10,75.4,0
1,17705440,2,4,10,53.98,0
1,19456500,1,5,9,45.78,0
0,21809999,2,3,20,86.4,1
1,12200000,1,15,16,46.0,0
1,8500155,1,1,9,32.61,0
1,21228000,2,1,9,73.2,1
1,24435600,2,6,7,87.27,0
1,32317940,2,5,9,70.5,0
